pleasant,unpleasant,European names,African names,Male name,Female names,Career,Family,Male terms,Female terms,Math,Arts,science,mental disease,physical disease,careers,names
caress,abuse,Brad,Darnell,John,Amy,executive,home,male,female,math,poetry,science,sad,sick,technician,Kelly
freedom,crash,Brendan,Hakim,Paul,Joan,management,parents,man,woman,algebra,art,technology,hopeless,illness,accountant,Tracy
health,filth,Geoffrey,Jermaine,Mike,Lisa,professional,children,boy,girl,geometry,dance,physics,gloomy,influenza,supervisor,Jamie
love,murder,Greg,Kareem,Kevin,Sarah,corporation,family,brother,sister,calculus,literature,chemistry,tearful,disease,engineer,Jackie
peace,sickness,Brett,Jamal,Steve,Diana,salary,cousins,he,she,equations,novel,experiment,miserable,virus,worker,Jessie
cheer,accident,Jay,Leroy,Greg,Kate,office,marriage,him,her,computation,symphony,astronomy,depressed,cancer,educator,Courtney
friend,death,Matthew,Rasheed,Jeff,Ann,business,wedding,his,hers,number,drama,research,,,clerk,Lynn
heaven,grief,Neil,Tremayne,Bill,Donna,career,relatives,son,daughter,addition,sculpture,lab,,,counselor,Taylor
loyal,poison,Todd,Tyrone,,,,,,,,,,,,inspector,Leslie
pleasure,stink,Allison,Aisha,,,,,,,,,,,,mechanic,Shannon
diamond,assault,Anne,Ebony,,,,,,,,,,,,manager,Stacey
gentle,disaster,Carrie,Keisha,,,,,,,,,,,,therapist,Jessie
honest,hatred,Emily,Kenya,,,,,,,,,,,,administrator,Shawn
lucky,pollute,Jill,Latony,,,,,,,,,,,,salesperson,Stacy
rainbow,tragedy,Laurie,Lakisha,,,,,,,,,,,,receptionist,Casey
diploma,divorce,Kristen,Latoya,,,,,,,,,,,,librarian,Bobby
gift,jail,Meredith,Tamika,,,,,,,,,,,,advisor,Terry
honor,poverty,Sarah,Tanisha,,,,,,,,,,,,pharmacist,Lee
miracle,ugly,,,,,,,,,,,,,,janitor,Ashley
sunrise,cancer,,,,,,,,,,,,,,psychologist,Eddie
family,kill,,,,,,,,,,,,,,physician,Chris
happy,rotten,,,,,,,,,,,,,,carpenter,Jody
laughter,vomit,,,,,,,,,,,,,,nurse,Pat
paradise,agony,,,,,,,,,,,,,,investigator,Carey
vacation,prison,,,,,,,,,,,,,,bartender,Willie
,,,,,,,,,,,,,,,specialist,Morgan
,,,,,,,,,,,,,,,electrician,Robbie
,,,,,,,,,,,,,,,officer,Joan
,,,,,,,,,,,,,,,pathologist,Alexis
,,,,,,,,,,,,,,,teacher,Kris
,,,,,,,,,,,,,,,lawyer,Frankie
,,,,,,,,,,,,,,,planner,Bobbie
,,,,,,,,,,,,,,,practitioner,Dale
,,,,,,,,,,,,,,,plumber,Robin
,,,,,,,,,,,,,,,instructor,Billie
,,,,,,,,,,,,,,,surgeon,Adrian
,,,,,,,,,,,,,,,veterinarian,Kim
,,,,,,,,,,,,,,,paramedic,Jaime
,,,,,,,,,,,,,,,examiner,Jean
,,,,,,,,,,,,,,,chemist,Francis
,,,,,,,,,,,,,,,machinist,Marion
,,,,,,,,,,,,,,,appraiser,Dana
,,,,,,,,,,,,,,,nutritionist,Rene
,,,,,,,,,,,,,,,architect,Johnnie
,,,,,,,,,,,,,,,hairdresser,Jordan
,,,,,,,,,,,,,,,baker,Carmen
,,,,,,,,,,,,,,,programmer,Ollie
,,,,,,,,,,,,,,,paralegal,Dominique
,,,,,,,,,,,,,,,hygienist,Jimmie
,,,,,,,,,,,,,,,scientist,Shelby
